Item ID,Name,Purchase Link,Image_url,Image_file,Date Last Purchased,Category,Vendor,Makerspace_quantity,Backroom_quantity,Location,Alert
FoamBoard_20x30_2,"Foam Board, 20 X 30 in, 3/16 in Thickness, Assorted Colors","Pacon Acid-Free Value Foam Board, 20 X 30 in, 3/16 in Thickness, Assorted Color, Pack of 12",https://images.schoolspecialty.com/images/1398080_ecommthumbnail.jpg,,12/30/2022,FM,DOE,0,0,,0
FoamBoard_8x10,"Foam Board, 8 x 10 in, White","School Smart Foam Board, 8 x 10 in, White, Pack of 25",https://images.schoolspecialty.com/images/1494875_ecommthumbnail.jpg,,12/30/2022,FM,DOE,0,0,,0
FoamCore_22x28," Foam-Core Board, 22 x 28 in, 3/16 Thick in, White","Pacon Foam-Core Board, 22 x 28 in, 3/16 Thick in, White, Carton of 5",https://images.schoolspecialty.com/images/1508087_SPR_ecommthumbnail.jpg,,11/30/2022,FM,DOE,0,0,,0
FoamSheet_9x12,"Foam Sheet, 9 X 12 in, Assorted Bright Color","Wonderfoam Non-Toxic Foam Sheet, 9 X 12 in, Assorted Bright Color, Pack of 10",https://images.schoolspecialty.com/images/207169_ecommthumbnail.jpg,,12/30/2022,FM,DOE,2,0,,0
Gesso_1,Acrylic Gesso,"Liquitex Non-Toxic Ready-to-Use Acrylic Gesso, 1 qt Squeeze Bottle, Dries to a B",https://images.schoolspecialty.com/images/390806_ecommthumbnail.jpg,,3/22/2023,PT,DOE,3,0,,0
Glitter_1,"Glitter, 1 Pound Jar, Gold","School Smart Craft Glitter, 1 Pound Jar, Gold",https://www.schoolspecialty.com/wcsstore/SSIB2BStorefrontAssetStore/images/products/2004126.jpg,,11/30/2022,MISC,DOE,0,0,,0
Glitter_2,"Glitter, 1 Pound Jar, Silver","School Smart Craft Glitter, 1 Pound Jar, Silver",https://www.schoolspecialty.com/wcsstore/SSIB2BStorefrontAssetStore/images/products/2004125.jpg,,11/30/2022,MISC,DOE,0,0,,0
Gloves_Large,"Gloves, BOX/100, LARGE","GLOVES, VINYL, POWDER FREE, DISPOSABLE, BOX/100, LARGE",,,3/22/2023,FA,DOE,2,0,,0
Gloves_Med,"Gloves, BOX/100, MEDIUM","https://www.finance360.org/shopdoe/ProductDetail.aspx?dsNav=Ny:True,Ro:0,N:4293940425",,,9/1/2022,FA,DOE,2,0,,0
Gloves_XL,"Gloves, BOX/100, XL","GLOVES, VINYL, POWDER FREE, DISPOSABLE, BOX/100, XL",http://www.quickmedical.com/images/sku/tnails_250/4688.jpg,,3/22/2023,FA,DOE,2,0,,0
Glue_4oz,"School Glue, 4 oz.",,,,,GL,DOE,35,0,,0
Glue_Gun,"Stanley Glueshot Miniature Hot Melt Glue Gun, Yellow","Stanley Glueshot Miniature Hot Melt Glue Gun, Yellow",https://images.schoolspecialty.com/images/1397688_ecommthumbnail.jpg,,2022,GL,DOE,6,0,,0
Glue_Tacky,"Aleene's Original Tacky Glue - 8 oz, Squeeze Bottle",,,,3/22/2023,GL,BLICK,2,0,,0
GlueStick_Large,"Elmer's Glue Stick Classroom Pack, 0.77 oz","Elmer's All Purpose Glue Stick Classroom Pack, 0.77 oz, Pack of 30",https://images.schoolspecialty.com/images/1535940_ecommthumbnail.jpg,,12/30/2022,GL,DOE,22,0,,0
GlueStick_Small,"Elmer's Glue Stick Classroom Pack, 0.24 oz","Elmer's Acid-Free Multi-Purpose Disappearing Non-Toxic Handy Twist-Up Washable School Glue Stick Classroom Pack, 0.24 oz Tube, Clear, Pack of 30",https://images.schoolspecialty.com/images/081454_ecommthumbnail.jpg,,10/31/2022,GL,DOE,12,0,,0
GoogleEye_1,"Creativity Street Round Wiggle Eye, Assorted Size, Assorted on White, Pack of 500","Creativity Street Round Wiggle Eye, Assorted Size, Assorted on White, Pack of 500",https://images.schoolspecialty.com/images/324579_ecommthumbnail.jpg,,4/22/2023,MISC,DOE,0,0,,0
HotGlue_Mini,"Mini Glue Stick, 5/16 x 4 Inches, Clear","School Smart Dual Temperature Mini Glue Stick, 5/16 x 4 Inches, Clear, Pack of 100",https://images.schoolspecialty.com/images/038004_ecommthumbnail.jpg,,3/22/2023,GL,DOE,14,0,,0
Ink_1,"Speedball Block Printing Ink, 1 lb Jar","Speedball Non-Toxic Water Based Block Printing Ink, 1 lb Jar, Black",https://images.schoolspecialty.com/images/380810_A_ecommthumbnail.jpg,,11/30/2022,PRTM,DOE,0,0,,0
item-123,Saw,Battery powered circular saw,,Items_Images/item-123.Image.211420.png,10/28/2022,TLS,DOE,29,0,,0
item-345,Hammer,Framing hammer,,Items_Images/item-345.Image.211436.png,10/29/2022,TLS,DOE,2,0,,0
item-567,T-Square,T-square with metric ruler,,Items_Images/item-567.Image.211512.png,10/30/2022,TLS,DOE,12,0,,0
LCutter_1,"Speedball Adjustable Cutter Set, Assorted Size","Speedball Adjustable Cutter Set, Assorted Size, Linoleum, Blue/Red Handle, Set of 8",https://images.schoolspecialty.com/images/380957_ecommthumbnail.jpg,,11/30/2022,PRTM,DOE,0,0,,0
LGlueStick_1,"Surebonder High Temp Glue Sticks, 10 Inches","Surebonder High Temp Glue Sticks, 10 Inches, 5 lb Box",https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=E1589251&Rendition=Large,,10/31/2022,GL,DOE,39,0,,0
Linolem_CarvingTools,Carving Tool Set of 12,"Jack Richeson Economy Carving Tool Set, 5-3/4 in L, Linoleum, Wood, Steel Blade, Set of 12",https://images.schoolspecialty.com/images/428165_ecommthumbnail.jpg,,12/30/2022,WD,DOE,0,0,,0
Linoleum_1,Linoleum - 6 x 9 inches,Sax Easy to Cut Unmounted Linoleum - 6 x 9 inches - Pack of 12,https://images.schoolspecialty.com/images/402394_A_ecommthumbnail.jpg,,3/22/2023,PRTM,DOE,1,0,,0
MaskingTape_1in,"Masking Tape, .9"" x 60 Yards","Staples Masking Tape, .9"" x 60 Yards",http://www.staples-3p.com/s7/is/image/Staples/s0202509_sc7.jpg,,3/22/2023,TP,DOE,16,0,,0
MaskingTape_3Quater,"Masking Tape, 0.75 Inch x 60 Yards, Tan","Scotch 234 General Purpose Masking Tape, 0.75 Inch x 60 Yards, Tan",https://images.schoolspecialty.com/images/042108_ecommthumbnail.jpg,,12/30/2022,TP,DOE,0,0,,0
